2,1562652936268,-304,864,304
2,1562652936270,-240,816,320
4,1562652936273,-1008,0,48
4,1562652936274,-992,-16,80
6,1562652936283,-400,-432,-800
6,1562652936284,-400,-432,-800
2,1562652936313,-224,848,384
2,1562652936317,-240,896,400
4,1562652936329,-992,-48,64
4,1562652936332,-1008,-48,48
4,1562652936334,-1024,32,48
6,1562652936342,-384,-432,-800
6,1562652936344,-400,-416,-800
2,1562652936355,-192,928,416
2,1562652936358,-192,1008,400
2,1562652936364,-256,1072,336
4,1562652936372,-1056,0,32
4,1562652936373,-1040,-48,0
6,1562652936374,-400,-432,-832
6,1562652936375,-368,-432,-832
2,1562652936403,-304,1024,304
2,1562652936404,-304,928,336
4,1562652936415,-1040,16,16
4,1562652936416,-1024,0,16
6,1562652936423,-400,-432,-816
6,1562652936424,-400,-432,-816
6,1562652936425,-400,-432,-800
2,1562652936449,-288,848,320
2,1562652936450,-256,832,352
4,1562652936458,-1008,-16,64
4,1562652936459,-992,-32,80
6,1562652936463,-400,-432,-784
6,1562652936467,-400,-432,-816
2,1562652936491,-256,864,384
2,1562652936492,-224,912,384
4,1562652936500,-1008,-48,64
4,1562652936503,-1008,-32,32
4,1562652936506,-1040,16,48
6,1562652936515,-384,-432,-816
6,1562652936517,-400,-448,-800
2,1562652936536,-208,960,384
2,1562652936538,-224,1024,352
2,1562652936541,-272,1040,336
4,1562652936549,-1040,-16,16
4,1562652936551,-1056,-16,0
6,1562652936552,-384,-432,-832
6,1562652936554,-384,-432,-816
6,1562652936555,-400,-432,-816
2,1562652936581,-288,992,336
2,1562652936582,-288,928,352
4,1562652936588,-1040,0,16
4,1562652936589,-1024,-16,32
6,1562652936600,-384,-432,-816
6,1562652936602,-400,-432,-800
2,1562652936626,-272,864,352
2,1562652936627,-256,848,368
4,1562652936634,-1008,-16,64
4,1562652936635,-1008,-32,80
6,1562652936641,-400,-432,-800
6,1562652936643,-400,-432,-816
2,1562652936672,-256,896,384
2,1562652936673,-240,928,368
2,1562652936673,-208,944,368
